lookback_months,vol_target_pct,rebalance,sharpe,deflated_sharpe,deflated_p_value,max_drawdown,ann_return,total_return,ann_vol
1,6.0,weekly,-0.0351,-3.1622,0.999217,-0.421,-0.0085,-0.1587,0.0968
1,6.0,biweekly,-0.1042,-3.482,0.999751,-0.4764,-0.0151,-0.2668,0.0955
1,6.0,monthly,-0.1039,-3.4804,0.99975,-0.4964,-0.0152,-0.2671,0.0957
1,8.0,weekly,-0.0205,-3.095,0.999016,-0.421,-0.0071,-0.1357,0.098
1,8.0,biweekly,-0.1008,-3.4661,0.999736,-0.4802,-0.0151,-0.2661,0.0969
1,8.0,monthly,-0.1091,-3.5045,0.999771,-0.4964,-0.016,-0.2796,0.0972
1,10.0,weekly,-0.0007,-3.0032,0.998664,-0.421,-0.0052,-0.1009,0.099
1,10.0,biweekly,-0.0908,-3.4201,0.999687,-0.4731,-0.0143,-0.2544,0.0981
1,10.0,monthly,-0.1113,-3.5146,0.99978,-0.5004,-0.0165,-0.2867,0.0984
1,12.0,weekly,0.014,-2.9351,0.998333,-0.421,-0.0038,-0.0737,0.0998
1,12.0,biweekly,-0.0852,-3.3943,0.999656,-0.4725,-0.014,-0.2486,0.0991
1,12.0,monthly,-0.1113,-3.5151,0.99978,-0.504,-0.0167,-0.2903,0.0995
1,15.0,weekly,0.0257,-2.8809,0.998017,-0.421,-0.0026,-0.0519,0.1008
1,15.0,biweekly,-0.0775,-3.3588,0.999609,-0.4678,-0.0135,-0.2408,0.1006
1,15.0,monthly,-0.1064,-3.4926,0.999761,-0.5026,-0.0166,-0.2884,0.1012
3,6.0,weekly,0.4346,-0.9873,0.838243,-0.1561,0.04,1.2194,0.0964
3,6.0,biweekly,0.4614,-0.865,0.806484,-0.1756,0.0426,1.3382,0.096
3,6.0,monthly,0.3465,-1.3971,0.918814,-0.2141,0.0312,0.8666,0.098
3,8.0,weekly,0.4387,-0.9687,0.833648,-0.1561,0.0409,1.2583,0.0976
3,8.0,biweekly,0.4696,-0.8292,0.796515,-0.1756,0.0441,1.404,0.0974
3,8.0,monthly,0.3498,-1.3828,0.916637,-0.2141,0.0319,0.8941,0.0995
3,10.0,weekly,0.4381,-0.9722,0.834523,-0.1561,0.0412,1.2715,0.0986
3,10.0,biweekly,0.4695,-0.8323,0.797389,-0.1756,0.0446,1.4266,0.0986
3,10.0,monthly,0.3441,-1.4105,0.920807,-0.2141,0.0316,0.8826,0.1007
3,12.0,weekly,0.44,-0.9641,0.832513,-0.1561,0.0417,1.2931,0.0994
3,12.0,biweekly,0.4661,-0.8514,0.802728,-0.1756,0.0446,1.4281,0.0996
3,12.0,monthly,0.3367,-1.4465,0.925983,-0.2141,0.0311,0.8626,0.1017
3,15.0,weekly,0.442,-0.9562,0.830522,-0.1561,0.0423,1.3216,0.1005
3,15.0,biweekly,0.4605,-0.8849,0.811898,-0.1756,0.0446,1.4273,0.1011
3,15.0,monthly,0.3303,-1.4797,0.930519,-0.2141,0.0308,0.8516,0.1034
6,6.0,weekly,0.4596,-0.8782,0.810077,-0.2025,0.0412,1.2744,0.093
6,6.0,biweekly,0.2866,-1.6789,0.953414,-0.2492,0.0238,0.613,0.0931
6,6.0,monthly,0.3222,-1.5135,0.934918,-0.22,0.0277,0.7438,0.0946
6,8.0,weekly,0.4701,-0.8304,0.79683,-0.2025,0.0428,1.3457,0.0942
6,8.0,biweekly,0.2945,-1.6432,0.949826,-0.2492,0.0249,0.6485,0.0945
6,8.0,monthly,0.3097,-1.5713,0.941944,-0.22,0.0268,0.7121,0.0961
6,10.0,weekly,0.4697,-0.833,0.79758,-0.2025,0.0432,1.3627,0.0952
6,10.0,biweekly,0.2912,-1.6591,0.951453,-0.2492,0.0248,0.646,0.0958
6,10.0,monthly,0.2924,-1.6518,0.950716,-0.22,0.0253,0.6607,0.0973
6,12.0,weekly,0.466,-0.8505,0.802489,-0.2025,0.0431,1.3596,0.096
6,12.0,biweekly,0.286,-1.6844,0.953949,-0.2492,0.0245,0.635,0.0968
6,12.0,monthly,0.2781,-1.7189,0.95718,-0.22,0.024,0.6188,0.0984
